"reviews_count","number_of_apps","percentage_of_total","avg_rating"
409,"1","0.02","3.200000047683716"
410,"1","0.02","4.199999809265137"
418,"1","0.02","4.699999809265137"
422,"1","0.02","4.199999809265137"
426,"1","0.02","5"
430,"1","0.02","4.800000190734863"
431,"2","0.04","4.849999904632568"
434,"1","0.02","4.800000190734863"
436,"1","0.02","4.699999809265137"
437,"2","0.04","4.8500001430511475"
439,"2","0.04","4.25"
440,"1","0.02","4.800000190734863"
442,"2","0.04","4.900000095367432"
444,"1","0.02","4.5"
448,"1","0.02","5"
449,"1","0.02","4.800000190734863"
451,"1","0.02","4.900000095367432"
453,"2","0.04","4.400000095367432"
456,"1","0.02","4.599999904632568"
462,"1","0.02","4.900000095367432"
465,"2","0.04","4.349999904632568"
472,"1","0.02","4.800000190734863"
473,"1","0.02","4.800000190734863"
476,"1","0.02","4.699999809265137"
479,"1","0.02","3.799999952316284"
484,"1","0.02","4.5"
485,"1","0.02","4.699999809265137"
488,"1","0.02","4.599999904632568"
490,"2","0.04","4.700000047683716"
491,"1","0.02","4.699999809265137"
496,"1","0.02","4.300000190734863"
499,"1","0.02","4.900000095367432"
502,"1","0.02","4.900000095367432"
503,"2","0.04","4.6000001430511475"
505,"3","0.06","4.6333333651224775"
507,"1","0.02","5"
508,"1","0.02","4.699999809265137"
509,"1","0.02","4.300000190734863"
510,"1","0.02","4.900000095367432"
515,"2","0.04","4.900000095367432"
520,"1","0.02","4.699999809265137"
538,"1","0.02","4.599999904632568"
547,"1","0.02","4.800000190734863"
561,"1","0.02","4.800000190734863"
562,"1","0.02","4.599999904632568"
572,"1","0.02","4.599999904632568"
581,"1","0.02","4.599999904632568"
582,"1","0.02","4.199999809265137"
583,"1","0.02","4.800000190734863"
586,"1","0.02","4.5"
591,"1","0.02","4.900000095367432"
592,"1","0.02","4.800000190734863"
593,"1","0.02","4.900000095367432"
596,"1","0.02","4.699999809265137"
601,"1","0.02","3.799999952316284"
609,"1","0.02","4.900000095367432"
612,"1","0.02","4.800000190734863"
617,"1","0.02","4.300000190734863"
619,"1","0.02","3.4000000953674316"
621,"1","0.02","4.800000190734863"
624,"1","0.02","4.400000095367432"
625,"1","0.02","4.599999904632568"
626,"1","0.02","4.900000095367432"
631,"1","0.02","4.800000190734863"
637,"1","0.02","4.800000190734863"
648,"1","0.02","4.699999809265137"
656,"1","0.02","4.699999809265137"
660,"1","0.02","5"
663,"1","0.02","4.900000095367432"
664,"1","0.02","4.800000190734863"
665,"1","0.02","4.5"
669,"1","0.02","4.599999904632568"
672,"1","0.02","4.5"
685,"1","0.02","4.900000095367432"
686,"2","0.04","4.75"
690,"1","0.02","5"
693,"1","0.02","4.400000095367432"
697,"1","0.02","4.300000190734863"
711,"2","0.04","4.75"
717,"1","0.02","4.900000095367432"
722,"1","0.02","4.900000095367432"
725,"1","0.02","3.299999952316284"
732,"1","0.02","4.900000095367432"
739,"1","0.02","4.800000190734863"
757,"1","0.02","4.900000095367432"
775,"1","0.02","4.800000190734863"
788,"1","0.02","4.5"
802,"1","0.02","4.599999904632568"
809,"1","0.02","4.599999904632568"
812,"1","0.02","4.400000095367432"
827,"2","0.04","4.599999904632568"
829,"2","0.04","4.799999952316284"
830,"1","0.02","4.5"
842,"1","0.02","4.599999904632568"
847,"1","0.02","4.800000190734863"
865,"1","0.02","4.599999904632568"
875,"1","0.02","4.800000190734863"
876,"1","0.02","4.699999809265137"
894,"1","0.02","4.800000190734863"
898,"1","0.02","4.800000190734863"
905,"1","0.02","4.599999904632568"
914,"1","0.02","4.699999809265137"
916,"1","0.02","4.900000095367432"
922,"1","0.02","4.5"
930,"1","0.02","5"
943,"1","0.02","4.900000095367432"
959,"1","0.02","4.900000095367432"
966,"2","0.04","4.6499998569488525"
977,"1","0.02","2.700000047683716"
989,"1","0.02","5"
1001,"1","0.02","4.800000190734863"
1010,"1","0.02","4.300000190734863"
1025,"1","0.02","4.699999809265137"
1032,"1","0.02","4.699999809265137"
1039,"1","0.02","4.800000190734863"
1041,"1","0.02","4.699999809265137"
1082,"1","0.02","4.300000190734863"
1088,"1","0.02","4.900000095367432"
1089,"1","0.02","4.900000095367432"
1098,"1","0.02","4.800000190734863"
1103,"1","0.02","4.800000190734863"
1104,"1","0.02","4.900000095367432"
1122,"1","0.02","4.699999809265137"
1125,"1","0.02","4.800000190734863"
1137,"1","0.02","4.800000190734863"
1142,"1","0.02","4.599999904632568"
1151,"1","0.02","4.5"
1175,"1","0.02","4.800000190734863"
1204,"1","0.02","4.900000095367432"
1212,"1","0.02","4.5"
1236,"1","0.02","4.900000095367432"
1251,"1","0.02","4.800000190734863"
1257,"1","0.02","4.300000190734863"
1289,"1","0.02","4.5"
1323,"1","0.02","3.9000000953674316"
1328,"1","0.02","4.300000190734863"
1345,"1","0.02","4.5"
1400,"1","0.02","4.800000190734863"
1413,"1","0.02","4.599999904632568"
1414,"1","0.02","4.800000190734863"
1458,"1","0.02","4.699999809265137"
1462,"1","0.02","4.300000190734863"
1468,"1","0.02","4.599999904632568"
1476,"1","0.02","4.400000095367432"
1487,"1","0.02","4.300000190734863"
1525,"1","0.02","4.800000190734863"
1535,"1","0.02","4.900000095367432"
1555,"1","0.02","4.900000095367432"
1605,"1","0.02","4.300000190734863"
1651,"1","0.02","4.800000190734863"
1682,"1","0.02","4.699999809265137"
1688,"1","0.02","5"
1702,"1","0.02","4.099999904632568"
1756,"1","0.02","4.699999809265137"
1767,"1","0.02","4.599999904632568"
1806,"1","0.02","4.699999809265137"
1832,"1","0.02","4.900000095367432"
1835,"1","0.02","4.699999809265137"
1848,"1","0.02","4.800000190734863"
1948,"1","0.02","4.599999904632568"
1975,"1","0.02","4.800000190734863"
2020,"1","0.02","4.699999809265137"
2119,"1","0.02","4.699999809265137"
2130,"1","0.02","4.800000190734863"
2133,"1","0.02","4.699999809265137"
2173,"1","0.02","4.699999809265137"
2218,"1","0.02","4.699999809265137"
2234,"1","0.02","4.599999904632568"
2255,"1","0.02","4.599999904632568"
2351,"1","0.02","4.199999809265137"
2576,"1","0.02","5"
2582,"1","0.02","4.900000095367432"
2672,"1","0.02","4.900000095367432"
3025,"1","0.02","4.400000095367432"
3032,"1","0.02","4.900000095367432"
3279,"1","0.02","4.300000190734863"
3299,"1","0.02","4.900000095367432"
3322,"1","0.02","4.599999904632568"
3427,"1","0.02","4.800000190734863"
3506,"1","0.02","4.699999809265137"
3510,"1","0.02","4.400000095367432"
3566,"1","0.02","4.599999904632568"
3697,"1","0.02","4.699999809265137"
3867,"1","0.02","4.900000095367432"
4033,"1","0.02","4.599999904632568"
4143,"1","0.02","4.699999809265137"
4460,"1","0.02","4.800000190734863"
4787,"1","0.02","4.900000095367432"
5327,"1","0.02","4.900000095367432"
5339,"1","0.02","4.800000190734863"
5463,"1","0.02","4.800000190734863"
5852,"1","0.02","4.900000095367432"
6345,"1","0.02","4.800000190734863"
6706,"1","0.02","4.800000190734863"
7180,"1","0.02","4.800000190734863"
9618,"1","0.02","4.900000095367432"
24303,"1","0.02","4.599999904632568"
