"category","reviews_count","rating","number_of_apps","percentage"
"Customer support",70,4.9,1,0.24
"Customer support",100,4.9,1,0.24
"Customer support",101,4.9,1,0.24
"Customer support",127,4.9,1,0.24
"Customer support",138,4.9,1,0.24
"Customer support",146,4.9,1,0.24
"Customer support",173,4.9,1,0.24
"Customer support",188,4.9,1,0.24
"Customer support",207,4.9,1,0.24
"Customer support",209,4.9,1,0.24
"Customer support",225,4.9,1,0.24
"Customer support",293,4.9,1,0.24
"Customer support",499,4.9,1,0.24
"Customer support",593,4.9,1,0.24
"Customer support",609,4.9,1,0.24
"Customer support",1,5,37,9.05
"Customer support",2,5,13,3.18
"Customer support",4,5,12,2.93
"Customer support",3,5,9,2.20
"Customer support",9,5,6,1.47
"Customer support",5,5,5,1.22
"Customer support",6,5,4,0.98
"Customer support",7,5,3,0.73
"Customer support",8,5,2,0.49
"Customer support",17,5,2,0.49
"Customer support",18,5,2,0.49
"Customer support",10,5,1,0.24
"Customer support",11,5,1,0.24
"Customer support",13,5,1,0.24
"Customer support",14,5,1,0.24
"Customer support",15,5,1,0.24
"Customer support",16,5,1,0.24
"Customer support",20,5,1,0.24
"Customer support",23,5,1,0.24
"Customer support",27,5,1,0.24
"Customer support",29,5,1,0.24
"Customer support",39,5,1,0.24
"Customer support",48,5,1,0.24
"Customer support",63,5,1,0.24
"Customer support",68,5,1,0.24
"Customer support",79,5,1,0.24
"Customer support",102,5,1,0.24
"Customer support",126,5,1,0.24
"Customer support",148,5,1,0.24
"Customer support",1688,5,1,0.24
"Finances",0,0,40,24.54
"Finances",1,1,6,3.68
"Finances",7,1.3,1,0.61
"Finances",2,2,1,0.61
"Finances",5,2,1,0.61
"Finances",5,2.4,1,0.61
"Finances",173,2.5,1,0.61
"Finances",2,3,2,1.23
"Finances",6,3.2,1,0.61
"Finances",10,3.3,1,0.61
"Finances",21,3.3,1,0.61
"Finances",30,3.4,1,0.61
"Finances",92,3.4,1,0.61
"Finances",6,3.5,1,0.61
"Finances",4,3.6,1,0.61
"Finances",3,3.7,2,1.23
"Finances",205,3.7,1,0.61
"Finances",24,3.8,1,0.61
"Finances",76,3.8,1,0.61
"Finances",7,3.9,1,0.61
"Finances",6,4,1,0.61
"Finances",8,4,1,0.61
"Finances",14,4.1,1,0.61
"Finances",54,4.2,1,0.61
"Finances",3,4.3,1,0.61
"Finances",46,4.3,1,0.61
"Finances",19,4.4,1,0.61
"Finances",20,4.5,1,0.61
"Finances",32,4.5,1,0.61
"Finances",830,4.5,1,0.61
"Finances",29,4.6,2,1.23
"Finances",12,4.6,1,0.61
"Finances",16,4.6,1,0.61
"Finances",18,4.6,1,0.61
"Finances",21,4.6,1,0.61
"Finances",23,4.6,1,0.61
"Finances",107,4.6,1,0.61
"Finances",125,4.6,1,0.61
"Finances",11,4.7,1,0.61
"Finances",70,4.7,1,0.61
"Finances",95,4.7,1,0.61
"Finances",193,4.7,1,0.61
"Finances",213,4.7,1,0.61
"Finances",19,4.8,2,1.23
"Finances",9,4.8,1,0.61
"Finances",25,4.8,1,0.61
"Finances",31,4.8,1,0.61
"Finances",48,4.8,1,0.61
"Finances",62,4.8,1,0.61
"Finances",83,4.8,1,0.61
"Finances",117,4.8,1,0.61
"Finances",252,4.8,1,0.61
"Finances",8,4.9,1,0.61
"Finances",11,4.9,1,0.61
"Finances",20,4.9,1,0.61
"Finances",26,4.9,1,0.61
"Finances",27,4.9,1,0.61
"Finances",37,4.9,1,0.61
"Finances",39,4.9,1,0.61
"Finances",62,4.9,1,0.61
"Finances",87,4.9,1,0.61
"Finances",352,4.9,1,0.61
"Finances",404,4.9,1,0.61
"Finances",1,5,12,7.36
"Finances",2,5,12,7.36
"Finances",3,5,4,2.45
"Finances",5,5,4,2.45
"Finances",10,5,4,2.45
"Finances",4,5,3,1.84
"Finances",7,5,1,0.61
"Finances",11,5,1,0.61
"Finances",15,5,1,0.61
"Finances",21,5,1,0.61
"Finances",22,5,1,0.61
"Finances",28,5,1,0.61
"Finances",29,5,1,0.61
"Finances",32,5,1,0.61
"Finances",74,5,1,0.61
"Finances",123,5,1,0.61
"Finances",210,5,1,0.61
"Finances",267,5,1,0.61
"Finances",930,5,1,0.61
"Finding and adding products",0,0,43,17.06
"Finding and adding products",1,1,5,1.98
"Finding and adding products",2,1,2,0.79
"Finding and adding products",4,1,1,0.40
"Finding and adding products",10,1.2,1,0.40
"Finding and adding products",4,1.4,1,0.40
"Finding and adding products",6,1.5,1,0.40
"Finding and adding products",5,1.8,1,0.40
"Finding and adding products",1,2,3,1.19
"Finding and adding products",13,2,1,0.40
"Finding and adding products",14,2,1,0.40
"Finding and adding products",6,2.2,1,0.40
"Finding and adding products",11,2.2,1,0.40
"Finding and adding products",20,2.2,1,0.40
"Finding and adding products",3,2.3,1,0.40
"Finding and adding products",6,2.3,1,0.40
"Finding and adding products",5,2.4,2,0.79
"Finding and adding products",2,2.5,1,0.40
"Finding and adding products",17,2.5,1,0.40
"Finding and adding products",36,2.5,1,0.40
"Finding and adding products",3,2.6,1,0.40
